1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0132 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0132 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0132 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0132 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0132 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0132 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
1 -2.2027 -0.1081 0.4653	2 -0.1931 0.0133 0.0854	
